id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
b54c10a8-2144-425c-9fab-6d51a9306684;Francesca;Kutch;Betsy95@gmail.com;until futon;1970-01-01T11:53:13;17591;8153
45a1c276-242a-434d-b590-3a0c4063f0ee;Jessyca;Bergstrom;Marlen62@hotmail.com;bog once;1970-01-01T00:36:58;12156;2694
81991e0e-becc-43de-9ced-7b4ff561ef51;Noelia;Gleason;Royce52@hotmail.com;keenly;1969-12-31T23:56:31;1864;20798
5709940b-66d3-4527-b728-3ca70477d8af;Colleen;Fay;Shakira_Bogisich@gmail.com;anti arraign so;1970-01-01T07:47:58;31206;12060
389cebef-d19f-4a84-bacc-739d1f052095;Broderick;Cartwright;Antonetta28@hotmail.com;provided boo brood;1970-01-01T08:55:40;17301;23224
a0d90001-e527-4418-ab36-aed36ab6deb4;Darrion;Waters;Kendra47@yahoo.com;ack yawningly;1969-12-31T12:23:05;26382;19694
9c46e0c3-8b81-4dcc-81d2-8815dd3a05c9;Janae;Towne;Ophelia.OConnell@gmail.com;swill;1969-12-31T12:57:39;18365;4433
6661da8e-0684-4686-8bf6-d731d7b6ae8f;Candida;Fay;Clarabelle.Gutmann68@hotmail.com;whoa;1970-01-01T03:27:07;26976;25517
9ecbd14c-dc6b-424c-90e0-edc1839677b5;Destiney;McGlynn;Leonard.Howell44@yahoo.com;zesty decode instead;1970-01-01T03:40:32;18591;7068
825b6101-4343-4060-bae7-9b17cdfb6d8f;Abdullah;O'Connell;Olga_Lakin12@yahoo.com;overcoat;1969-12-31T20:43:20;21134;19753
